,Bounce,DeltaBlue,Json,List,Permute,Queens,Sieve,Storage,Towers
3.8.3,0.5962927940000001,0.12684515333333332,4.805289474666666,0.4545707866666666,1.0577184333333334,0.614213196,0.3259487326666667,0.8508427786666667,1.3472466506666667,
3.8.4,0.42285830133333335,0.07262280333333335,3.475927422,0.30152757999999996,1.007980986,0.5948874140000001,0.36806169000000005,0.8459738459999998,1.5303488753333336,
3.8.5,0.4383707146666667,0.06971287666666667,3.5247126826666673,0.29221992133333335,0.7432405593333334,0.3833525693333334,0.22282681933333331,0.5802137840000001,0.9874380113333335,
3.8.6,0.416744206,0.065542562,3.4298564666666675,0.2960457526666666,0.7082269966666669,0.3691183120000001,0.23406258866666665,0.5723623840000001,0.9495547300000002,
3.8.7,0.42613151066666677,0.06209964066666667,3.433995736666667,0.29352524733333335,0.7201104026666667,0.38305959333333334,0.21802967266666667,0.5778344273333335,0.9417539020000001,
3.8.8,0.4393727786666667,0.06372389866666667,3.4134547593333338,0.2934921893333333,0.7177134466666666,0.36339923199999996,0.21837577333333338,0.5564852539999999,0.9346796846666667,
3.8.9,0.4193874993333334,0.06450678066666665,3.4321136466666666,0.28633031800000003,0.7176947426666668,0.3830675926666666,0.2217063413333333,0.5740481286666665,0.948829994,
3.9.0,0.4182563373333334,0.06446837066666666,3.403231192,0.282052768,0.7304742746666667,0.36435845000000006,0.209544492,0.551351774,0.9468248706666667,
3.9.1,0.4157864113333334,0.06406165666666666,3.3240205893333328,0.28938305333333336,0.7154659446666666,0.35620983733333333,0.2226691786666667,0.6126154506666667,0.9270956373333334,
3.9.10,0.428384938,0.06745309733333334,3.63585206,0.3031767173333334,0.7343420113333333,0.3894510633333333,0.21890766533333333,0.5960788180000001,0.9770465113333333,
3.9.11,0.4203730180000001,0.06572435199999999,3.477103777333333,0.3113611273333333,0.7449257226666667,0.383771998,0.22190520799999996,0.5694743773333333,1.003910342,
3.9.12,0.4251013633333334,0.066032998,3.5612844753333333,0.30109111200000005,0.7234604066666664,0.3725110626666667,0.22418099933333333,0.6167408866666668,0.9641797719999999,
3.9.13,0.41354749466666657,0.06588092733333334,3.711793728666667,0.29383026733333334,0.723658872,0.374610656,0.2301563293333334,0.5559722786666668,0.9640534713333333,
3.9.2,0.40667493066666666,0.06714327666666667,3.318757846,0.2793349073333333,0.7117530339999999,0.3730681560000001,0.23280352000000007,0.5562314479999999,0.9172781793333334,
3.9.4,0.4153698579999999,0.062330934666666664,3.3559397466666665,0.30118401533333333,0.6922490753333335,0.359151182,0.20917749400000002,0.5386707673333332,0.9502683213333333,
3.9.5,0.42498204400000006,0.06428744666666669,3.3510416246666668,0.298710868,0.703537442,0.36369744866666665,0.2137013053333333,0.5454328946666666,0.9496754413333334,
3.9.6,0.4206351666666667,0.06282912133333335,3.5027772779999995,0.29041040733333323,0.7001293593333333,0.36677081,0.20820700600000003,0.5600190106666667,0.9634632160000003,
3.9.7,0.41152505666666667,0.065807682,3.3034286780000004,0.3373638793333333,0.7153960773333332,0.3583618746666667,0.20530021,0.5541678973333333,0.9258363613333334,
3.9.8,0.4263173206666667,0.06747649733333333,3.647904886,0.30326264933333336,0.7678559313333332,0.38546344600000004,0.233405024,0.5971307960000001,1.0074927786666668,
3.9.9,0.4358244633333334,0.08086992600000001,3.714590202666666,0.2990019480000001,0.7682622673333335,0.38193298,0.22275517000000003,0.5809315966666667,1.0208734739999998,
